tipo,numero,ano,responsavel,status,ementa,posicao_final,revisao_nivel,revisores,evidencia,lote,obs,expected_repo
"PL","1934","2026","Otávio","Concluído","Desconto proporcional em diárias de hospedagem (check-in/out)","Nada a opor (original IA: contrário)","Revisado com alterações","Marcel","Marcel 19/05 11:44: 'refazer esse... Está como contrário. Colocar nada a opor, e citar os argumentos contrários'","01-06","Inversão de posição determinada pelo Marcel; reescrita entregue 02/06","nada a opor"
"PL","1954","2026","Otávio","Concluído","Fundo de Reparação e Renda da População Negra (FMRDRPN)","Nada a opor","Aprovado sem alterações","Marcel","Marcel 19/05 11:29: 'Pode prosseguir' (lote 12/05)","01-06","","nada a opor"
"PLC","98","2026","Otávio","Concluído","Certidão de renda em HIS, EIS e locação de curta duração (LC 97/09)","Nada a opor","Revisado com alterações","Marcel","17/06 pendência '98 - Otávio refazer'; Marcel repostou reescrito 18/06 12:26 ('pode prosseguir nesse') e 24/06 ('Pode prosseguir com esses')","27-05 e 23-06","","nada a opor"
"PLC","102","2026","Otávio","Concluído","Manutenção, auditoria e seguro em shopping centers","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Diretiva de lote Marcel 27/05; Luiza 17/06: 'os demais já foram'","27-05","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PLC","103","2026","Otávio","Pendente - refazer","Reviver Centro: reavaliação bienal de incentivos (LC 229/21)","Entregue: nada a opor -> Marcel determinou contrário (pendente)","Revisado com alterações","Marcel","Áudio Marcel 22/06 (PTT-20260622-WA0025): inverter p/ contrário, LC 229/21 já prevê reavaliação; Luiza cobrou 07/07: '103 o seu'","27-05","Inversão nunca executada; peça no repo segue 'nada a opor'; Luiza repostou versão antiga 07/07 18:59","nada a opor"
"PLC","104","2026","Otávio","Concluído","Estruturas em áreas de concessão vs. regime de quiosques","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Diretiva de lote Marcel 27/05; Luiza 17/06: 'os demais já foram'","27-05","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PLC","105","2026","Otávio","Concluído","Recarga de veículos elétricos (Código de Obras, LC 198/19)","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Diretiva de lote Marcel 27/05; Luiza 17/06: 'os demais já foram'","27-05","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PLC","106","2026","Otávio","Concluído","Recarga de veículos elétricos em condomínios","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Diretiva de lote Marcel 27/05; Luiza 17/06: 'os demais já foram'","27-05","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","163","2025","Otávio","Concluído","Dia do Empreendedorismo Jovem (Lei 9.326/26)","Ciência da lei","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","04-06","Despacho de ciência (lei já sancionada)","ciencia"
"PL","1320","2025","Otávio","Concluído","Mês do Empreendedorismo Carioca (Lei 9.337/26)","Ciência da lei","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","04-06","Despacho de ciência (lei já sancionada)","ciencia"
"PL","1538","2025","Otávio","Concluído","Empresas Gestoras de Comércio Popular (MEI)","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","1964","2026","Otávio","Concluído","Dia do Empresário no Calendário Oficial","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","1985","2026","Otávio","Concluído","Mobilidade dos Entregadores por Bicicleta","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","1990","2026","Otávio","Concluído","Auditoria de Conformidade para Telecom em Favelas","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","2007","2026","Otávio","Concluído","Acesso a Serviços Básicos / Combate a Monopólios","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PLC","112","2026","Otávio","Concluído","Banheiro Família em Restaurantes","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","2040","2026","Otávio/Luiza","Concluído","Selo de Prevenção e Combate ao Antissemitismo","Nada a opor","Revisado com alterações","Luiza; Marcel","17/06: '2040 - Luiza refazer'; docx 'PL 20240_RevMarcel' 22/06; Marcel 22/06 12:35: 'pode prosseguir'","07-06","Versão final: PL 20240_RevMarcel.docx (refeito pela Luiza, revisado pelo Marcel)","nada a opor"
"PELOM","5","2026","Otávio","Concluído","Engenhos Publicitários (art. 463 da Lei Orgânica)","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","2076","2026","Otávio","Concluído","Aliança Comercial de Bairro / microcorredores comerciais","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","2078","2026","Otávio","Concluído","Audiências Públicas Territoriais p/ intervenções urbanas","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","2097","2026","Otávio","Concluído","Política de Incentivo a Residências Estudantis","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'os demais já foram' (evidência indireta)","07-06","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","799","2025","Otávio","Concluído","Sistemas Produtivos Agroecológicos p/ Mulheres da Agricultura Urbana","Nada a opor","Revisado com alterações","Marcel; Luiza","Luiza 23/06 18:16: 'Pode revisar'; Marcel repostou revisado 24/06 11:43: 'Pode prosseguir com esses'","23-06","Urgentíssimo (CVL 934/2026)","nada a opor"
"PL","2261","2026","Otávio","Concluído","Reconhece interesse público do Rio Innovation Week","Nada a opor","Revisado com alterações","Marcel","Marcel repostou 24/06 c/ dados do estudo 'Rio o Ano Inteiro'; referências oficiais reinseridas por Otávio 25/06","23-06","Marcel 24/06 11:48: 'Vc não colocou essas referências que eu pedi... Não pode ser tudo IA não'","nada a opor"
"PL","2262","2026","Otávio","Concluído","Semana do Rio Innovation Week no calendário (Lei 5.146/10)","Nada a opor","Revisado com alterações","Marcel","Marcel repostou 24/06 c/ dados do estudo 'Rio o Ano Inteiro'; referências oficiais reinseridas por Otávio 25/06","23-06","","nada a opor"
"PL","2263","2026","Otávio","Concluído","Dia do Empreendedorismo Prateado no calendário (Lei 5.146/10)","Nada a opor","Revisado com alterações","Marcel","Marcel repostou revisado 24/06 11:44: 'Pode prosseguir com esses'","23-06","","nada a opor"
"PLC","118","2026","Otávio","Concluído","Requalificação de galpões industriais (Jacarepaguá/Bangu/Sta Cruz)","Nada a opor","Revisado com alterações","Marcel","Marcel 14/07 21:20: 'refaz esse... pq eu não entendi'; refeito por Otávio 16/07 13:11; Marcel aparou e aprovou 16/07 13:29: 'pode prosseguir assim'","10-07","","nada a opor"
"PL","2188","2026","Otávio","Concluído","Lei Alexia Nunes: segurança/identidade em apps de transporte","Nada a opor","Aprovado sem alterações","Marcel","Marcel 14/07 21:19: 'pode prosseguir... com esses seis'","10-07","","nada a opor"
"PL","2199","2026","Otávio","Concluído","Isenção de pedágio 60+ (Linha Amarela/Transolímpica)","Nada a opor, com ressalva (original IA: contrário)","Revisado com alterações","Luiza; Marcel","Marcel 14/07 21:21: 'refaz esse'; Luiza refez 15/07 10:40; Marcel enxugou e aprovou 15/07 11:31: 'Pode prosseguir com esse'","10-07","Inversão contrário -> nada a opor, c/ ressalva de quantificação prévia dos impactos nas concessões; INDICE do repo ainda registra 'contrário'","contrario"
"PL","2239","2026","Otávio","Concluído","Turismo religioso + empreendedorismo religioso (Lei 5.675/13)","Nada a opor","Aprovado sem alterações","Marcel","Marcel 14/07 21:19: 'pode prosseguir... com esses seis'","10-07","","nada a opor"
"PL","2242","2026","Otávio","Concluído","QR Code de identificação de entregadores (apensado ao PL 324/2025)","Nada a opor","Aprovado sem alterações","Marcel","Marcel 14/07 21:19: 'pode prosseguir... com esses seis'","10-07","","nada a opor"
"PL","2265","2026","Otávio","Concluído","Hospedagem de curta duração em imóveis residenciais (cadastro/Airbnb)","Nada a opor","Aprovado sem alterações","Marcel","Marcel 14/07 21:19: 'pode prosseguir... com esses seis'","10-07","","nada a opor"
"PL","2276","2026","Otávio","Concluído","Programa Adote um Quarteirão (manutenção cooperada)","Nada a opor","Aprovado sem alterações","Marcel","Marcel 14/07 21:19: 'pode prosseguir... com esses seis'","10-07","","nada a opor"
"PDL","110","2025","Luiza/Marcel","Pendente - decisão","Susta parcialmente o Decreto Rio 56.398/2025 (desapropriação de imóveis da Ordem de São Francisco de Paula)","Em disputa: contrário x nada a opor","Revisado com alterações","Luiza; Marcel","07/07: Luiza postou versão contrária (19:37) e versão 'nada a opor' (20:11); Marcel 19:50: 'eu acho que enviei um com sentido contrário a esse tb'","—","Fora do pipeline; sem 'pode prosseguir' registrado; decisão pendente c/ Marcel/Márcio; ver despachos tarefas/RELATORIO_VEJA_SE_ACHA_110_103.md",""
